Date;Close
1992-01;23.39
1992-02;23.37
1992-03;23.5
1992-04;23.38
1992-05;23.53
1992-06;23.58
1992-07;23.69
1992-08;23.65
1992-09;23.7
1992-10;23.77
1992-11;23.79
1992-12;23.78
1993-01;23.16
1993-02;23.16
1993-03;23.15
1993-04;23.14
1993-05;23.13
1993-06;23.24
1993-07;23.33
1993-08;23.36
1993-09;23.33
1993-10;23.4
1993-11;23.42
1993-12;23.36
1994-01;23.54
1994-02;23.44
1994-03;23.48
1994-04;23.59
1994-05;23.63
1994-06;23.59
1994-07;23.7
1994-08;23.72
1994-09;23.64
1994-10;23.62
1994-11;23.56
1994-12;23.58
1995-01;23.71
1995-02;23.62
1995-03;23.65
1995-04;23.65
1995-05;23.72
1995-06;23.78
1995-07;23.78
1995-08;23.81
1995-09;23.74
1995-10;23.7
1995-11;23.73
1995-12;23.69
1996-01;23.69
1996-02;23.64
1996-03;23.6
1996-04;23.54
1996-05;23.59
1996-06;23.73
1996-07;23.77
1996-08;23.7
1996-09;23.6
1996-10;23.61
1996-11;23.62
1996-12;23.52
1997-01;23.43
1997-02;23.49
1997-03;23.5
1997-04;23.53
1997-05;23.69
1997-06;23.71
1997-07;23.82
1997-08;23.89
1997-09;23.74
1997-10;23.87
1997-11;23.9
1997-12;23.95
1998-01;24.1
1998-02;24.11
1998-03;23.97
1998-04;24.0
1998-05;24.2
1998-06;24.29
1998-07;24.38
1998-08;24.36
1998-09;24.42
1998-10;24.47
1998-11;24.29
1998-12;24.4
1999-01;24.53
1999-02;24.48
1999-03;24.51
1999-04;24.47
1999-05;24.56
1999-06;24.57
1999-07;24.66
1999-08;24.81
1999-09;24.74
1999-10;24.72
1999-11;24.9
1999-12;25.04
2000-01;25.55
2000-02;25.38
2000-03;25.46
2000-04;25.61
2000-05;25.64
2000-06;25.6
2000-07;25.69
2000-08;25.83
2000-09;25.77
2000-10;25.55
2000-11;25.69
2000-12;25.77
2001-01;26.0
2001-02;26.05
2001-03;26.22
2001-04;26.31
2001-05;26.37
2001-06;26.41
2001-07;26.45
2001-08;26.48
2001-09;26.53
2001-10;26.47
2001-11;26.56
2001-12;26.59
2002-01;26.74
2002-02;26.8
2002-03;26.79
2002-04;26.91
2002-05;26.87
2002-06;27.0
2002-07;26.98
2002-08;27.08
2002-09;27.12
2002-10;27.09
2002-11;27.23
2002-12;27.34
2003-01;27.51
2003-02;27.46
2003-03;27.5
2003-04;27.62
2003-05;27.73
2003-06;27.88
2003-07;27.83
2003-08;28.01
2003-09;28.07
2003-10;28.13
2003-11;28.17
2003-12;28.39
2004-01;28.45
2004-02;28.45
2004-03;28.52
2004-04;28.7
2004-05;28.82
2004-06;28.92
2004-07;29.09
2004-08;29.24
2004-09;29.26
2004-10;29.23
2004-11;29.35
2004-12;29.43
2005-01;29.92
2005-02;29.96
2005-03;30.03
2005-04;30.02
2005-05;30.04
2005-06;30.1
2005-07;30.34
2005-08;30.43
2005-09;30.35
2005-10;30.41
2005-11;30.28
2005-12;30.47
2006-01;31.14
2006-02;31.18
2006-03;31.43
2006-04;31.56
2006-05;31.73
2006-06;31.82
2006-07;31.9
2006-08;32.0
2006-09;31.96
2006-10;32.0
2006-11;32.24
2006-12;32.35
2007-01;32.68
2007-02;32.82
2007-03;32.82
2007-04;32.79
2007-05;32.83
2007-06;32.84
2007-07;32.86
2007-08;33.05
2007-09;32.85
2007-10;33.2
2007-11;33.26
2007-12;33.56
2008-01;33.98
2008-02;34.02
2008-03;34.14
2008-04;34.16
2008-05;34.22
2008-06;34.31
2008-07;34.4
2008-08;34.56
2008-09;34.52
2008-10;34.64
2008-11;34.53
2008-12;34.67
2009-01;34.83
2009-02;34.56
2009-03;34.69
2009-04;34.71
2009-05;34.94
2009-06;34.74
2009-07;34.78
2009-08;34.91
2009-09;34.97
2009-10;35.06
2009-11;35.13
2009-12;35.07
2010-01;35.17
2010-02;35.15
2010-03;34.93
2010-04;35.1
2010-05;35.1
2010-06;35.2
2010-07;35.21
2010-08;35.08
2010-09;35.32
2010-10;35.38
2010-11;35.19
2010-12;35.4
2011-01;35.27
2011-02;35.33
2011-03;35.54
2011-04;35.75
2011-05;35.66
2011-06;35.57
2011-07;35.69
2011-08;35.53
2011-09;35.78
2011-10;35.75
2011-11;35.98
2011-12;36.52
2012-01;36.7
2012-02;36.51
2012-03;36.69
2012-04;36.74
2012-05;36.85
2012-06;36.88
2012-07;37.0
2012-08;37.03
2012-09;37.13
2012-10;37.37
2012-11;37.32
2012-12;37.7
2013-01;37.9
2013-02;37.84
2013-03;37.86
2013-04;38.06
2013-05;38.19
2013-06;38.17
2013-07;38.18
2013-08;38.29
2013-09;38.38
2013-10;38.19
2013-11;38.08
2013-12;38.31
2014-01;38.65
2014-02;38.45
2014-03;38.57
2014-04;38.58
2014-05;38.72
2014-06;38.69
2014-07;38.65
2014-08;38.49
2014-09;38.73
2014-10;38.72
2014-11;38.77
2014-12;38.85
2015-01;39.24
2015-02;39.01
2015-03;39.13
2015-04;39.17
2015-05;39.07
2015-06;39.23
2015-07;39.22
2015-08;39.38
2015-09;39.3
2015-10;38.78
2015-11;39.49
2015-12;39.52
2016-01;38.69
2016-02;38.74
2016-03;38.92
2016-04;38.87
2016-05;38.75
2016-06;39.04
2016-07;38.9
2016-08;38.88
2016-09;38.54
2016-10;38.73
2016-11;38.92
2016-12;39.08
2017-01;38.65
2017-02;38.9
2017-03;38.94
2017-04;38.8
2017-05;38.74
2017-06;39.13
2017-07;38.58
2017-08;39.24
2017-09;38.79
2017-10;38.96
2017-11;39.04
2017-12;39.08
2018-01;39.31
2018-02;39.11
2018-03;39.29
2018-04;39.43
2018-05;39.54
2018-06;39.28
2018-07;39.33
2018-08;39.68
2018-09;39.59
2018-10;39.64
2018-11;39.47
2018-12;39.81
2019-01;40.16
2019-02;40.01
2019-03;39.38
2019-04;39.74
2019-05;40.05
2019-06;40.12
2019-07;40.1
2019-08;40.18
2019-09;39.82
2019-10;39.42
2019-11;40.12
2019-12;40.17
2020-01;40.72
2020-02;40.17
2020-03;40.01
2020-04;40.10
2020-05;40.03
2020-06;40.04
2020-07;39.95
2020-08;40.14
2020-09;40.06
2020-10;39.75
2020-11;39.76
2020-12;39.77
2021-01;39.82
2021-02;39.93
2021-03;39.99
2021-04;40.15
2021-05;39.35
2021-06;40.23
2021-07;39.98
2021-08;40.94
2021-09;40.72
2021-10;40.84
2021-11;40.98
2021-12;41.93
2022-01;42.71
2022-02;43.08
2022-03;43.07
2022-04;43.42
2022-05;43.32
2022-06;43.77
2022-07;44.3
2022-08;44.45
2022-09;44.81
2022-10;44.75
2022-11;45.2
2022-12;45.51
2023-01;46.65
2023-02;46.83
2023-03;46.6
2023-04;45.73
2023-05;46.52
2023-06;46.16
2023-07;46.35
2023-08;46.46
2023-09;46.0
2023-10;46.36
2023-11;46.36
2023-12;46.7
2024-01;46.47
2024-02;46.05
2024-03;46.4
2024-04;46.38
2024-05;46.55
2024-06;46.68
2024-07;46.42
2024-08;46.48
2024-09;46.64
2024-10;46.94
2024-11;46.26
2024-12;47.22
2025-01;47.39
2025-02;47.67
2025-03;47.37
2025-04;47.84
2025-05;47.72
2025-06;48.24
2025-07;48.26
2025-08;48.34
2025-09;48.63
